"rejectC","pValC","estC","lowC90","upC90","lowC50","upC50","lowC95","upC95","likeCUp","likeCDown","rejectF","pValF","estF","lowF90","upF90","lowF50","upF50","lowF95","upF95","likeFUp","likeFDown","baseConc","baseFlux","iBoot","yearStart","yearEnd","Site_no","param_nm","bias1","bias2","bias3"
TRUE,0.0099009900990099,-0.530467210569824,-0.637603333466805,-0.426988928793062,-0.565306893543032,-0.488039132195788,-0.657554127234085,-0.361070482336822,0.00495049504950495,0.995049504950495,TRUE,0.0099009900990099,-11.1260292819303,-13.0981855124181,-9.49874122115594,-11.7936699478454,-10.6257548995158,-14.1140417698915,-9.16209553198501,0.00495049504950495,0.995049504950495,0.630360413506659,14.122858004421,100,1992,2012,"01112900","Ammonia",0.0575592425132495,0.0577286456927448,0.0576439441029972
FALSE,0.168316831683168,-0.0793033712674379,-0.22239920324032,0.0207372413266963,-0.133857162874371,-0.0417500068185924,-0.248619305973242,0.0509544773188171,0.0841584158415842,0.915841584158416,FALSE,0.762376237623762,-0.27080063631856,-2.03177860875307,1.32526804034125,-1.10059353216853,0.366029501395018,-2.58855372642269,1.64740336706866,0.381188118811881,0.618811881188119,0.99687816556315,19.4551143820974,100,1992,2012,"01112900","Nitrite plus nitrate",0.00522713853353123,0.00532554676771911,0.00527634265062517
TRUE,0.0099009900990099,-0.0786621867478892,-0.100276187211229,-0.0523774657286853,-0.0860027301970676,-0.0625007406260726,-0.102215818520925,-0.0473381873812508,0.00495049504950495,0.995049504950495,TRUE,0.0099009900990099,-1.2761342631751,-1.79130911531553,-0.678835855343245,-1.47542133269992,-1.00551755956774,-1.95761177948293,-0.563618089496273,0.00495049504950495,0.995049504950495,0.41832313340514,8.38410761534317,100,1982,2012,"01122610","Nitrite plus nitrate",0.0038229284586362,0.0038229284586362,0.0038229284586362
TRUE,0.0099009900990099,-0.0563421557195076,-0.0857270154334943,-0.0270609823294157,-0.0659297722163643,-0.0443600408706494,-0.0869590684752709,-0.0211694789277588,0.00495049504950495,0.995049504950495,TRUE,0.0693069306930693,-0.823210817616497,-1.38978242668013,-0.182976090007602,-1.08188390360612,-0.521126674542446,-1.53099501414207,0.121878283490594,0.0346534653465347,0.965346534653465,0.396003102376759,7.93118416978457,100,1992,2012,"01122610","Nitrite plus nitrate",0.0038229284586362,0.0038229284586362,0.0038229284586362
FALSE,0.603960396039604,-0.0130879072920547,-0.0470508097863895,0.0186398727265294,-0.0255283140131966,0.00423091103522846,-0.050739006364051,0.0259066851056872,0.301980198019802,0.698019801980198,FALSE,0.544554455445545,-0.222571093487628,-0.857159801698835,0.400643859326622,-0.461347269097934,0.0419550070395647,-0.955367912219938,0.588429204970671,0.272277227722772,0.727722772277228,0.352748853949306,7.3305444456557,100,2002,2012,"01122610","Nitrite plus nitrate",0.0038229284586362,0.0038229284586362,0.0038229284586362
TRUE,0.0495049504950495,0.0148414248757415,0.00226709303737438,0.0243691560171709,0.00934066577781327,0.0192167791128407,8.33762987772472e-05,0.025125973839355,0.975247524752475,0.0247524752475248,TRUE,0.0693069306930694,0.0277682912246416,0.00313547120501666,0.0461864141194576,0.0176014779190681,0.0331808387324625,-0.00113137501957412,0.0494002425196146,0.965346534653465,0.0346534653465347,0.0783428035618523,0.125521341578511,100,2002,2012,"01394500","Total Phosphorus",0.151976178103518,0.157088882172612,0.154532530138065
FALSE,0.96039603960396,0.00136131105223081,-0.00942434510250918,0.0102382392339616,-0.00360777880899004,0.00401821556729679,-0.0111942695442906,0.0116690858401527,0.51980198019802,0.48019801980198,FALSE,0.900990099009901,0.00309515385336323,-0.0861757108816755,0.0632480631435885,-0.0302029413964235,0.0346801206729037,-0.0929386937800268,0.0710344944471142,0.450495049504951,0.54950495049505,0.0580410299417462,0.332349076948096,100,2002,2012,"09119000","Total Phosphorus",-0.0589493447040856,-0.00524625512154021,-0.0320977999128129
TRUE,0.0099009900990099,-0.0211920940121703,-0.028799364661738,-0.0152176945519724,-0.0247322166483515,-0.0188023281186077,-0.0303818077785388,-0.0131297103040104,0.00495049504950495,0.995049504950495,TRUE,0.0099009900990099,-1.11145273454534,-1.53166905031924,-0.683087669558998,-1.32147073245696,-0.995569604940814,-1.5652052403454,-0.558723427931615,0.00495049504950495,0.995049504950495,0.0339570605059717,1.77233215987875,100,1992,2012,"09211200","Ammonia",-0.15012938582615,0.0524808817427646,-0.0488242520416928
TRUE,0.0099009900990099,-0.0081018306327569,-0.0107487966431706,-0.00571965686845572,-0.00929587778951886,-0.0071348632917685,-0.0116508572284501,-0.00526136156769086,0.00495049504950495,0.995049504950495,TRUE,0.0099009900990099,-0.410972909651831,-0.558618196140631,-0.276869647501136,-0.479173003341652,-0.35881615260143,-0.597590735871119,-0.267065964956152,0.00495049504950495,0.995049504950495,0.0208667971265582,1.07185233498525,100,2002,2012,"09211200","Ammonia",-0.15012938582615,0.0524808817427646,-0.0488242520416928
TRUE,0.0297029702970297,0.00461119508196174,0.00149522843505642,0.0107829865325519,0.00472827441905218,0.00859533878633486,0.000317383550373139,0.0116417057384553,0.985148514851485,0.0148514851485149,TRUE,0.0693069306930694,0.0576312578650381,0.00201842323716529,0.121464702913267,0.0391486450980698,0.0908536815848931,-0.013334700136948,0.137770118766103,0.965346534653465,0.0346534653465347,0.0126792904240084,0.132895288081623,100,2002,2012,"09239500","Orthophosphate, filtered",0.0433479861958225,0.274170954068346,0.158759470132084
